year,dry,irr
2010,30.12669604757297,6.693988786104679
2011,35.70145838324462,3.151074648187819
2012,35.340034752074736,2.8690604180683805
2013,38.98740418245979,2.973764048768461
2014,35.18193098794385,3.0436168436988273
2015,34.44282868527829,2.9202981841865405
2016,36.874225640428406,2.875441326016615
2017,34.36217509705203,2.6210280919222813
2018,33.35190508293299,2.510650593085693
2019,32.70293891611658,2.4703720624056738
2020,33.487984113510905,2.757268017618032
2021,36.11123829521341,2.626384873085425
2022,34.679827916511414,2.6476357967454085
2023,33.858294970309565,2.490846538818746
2024,37.34428761183521,3.0074950017566424
2025,33.27861948420538,2.508466106183073
2026,34.3524882626685,2.8390457468954735
2027,35.345980449679494,2.844749283850486
2028,35.3693248315477,2.699894729724047
2029,33.551897458902985,2.9065641255047723
2030,33.4336453620656,2.7231095528502496
2031,35.12909164643755,2.5933326083274637
2032,34.86867512027179,2.710450788395631
2033,34.93931544196692,2.613394306398311
2034,34.22753590755086,2.3832919835330078
2035,35.92672789140851,2.588602325951781
2036,35.324196190833156,2.5447105147278517
2037,32.05368855200473,2.6082596685938357
2038,32.60148845428121,2.521738151173201
2039,35.42894694241992,2.3696198997450053
2040,34.543447673495045,2.1984106105448875
2041,35.397675361857736,2.6762832241538144
2042,31.681403205714652,2.4267784093915994
2043,34.65446581663313,2.4090996051193496
2044,36.988050444856164,2.6612966544159073
2045,32.73909817671934,2.4721396459593383
2046,34.258969315904125,2.423591588158925
2047,36.584327711296154,2.700109093930895
2048,33.727592972906855,2.365025549359014
2049,33.70664204977197,2.4665469572334997
2050,35.02801384025942,2.6320894436858815
